old_name,correct_name
f_Eophysaloides_inflata,Eophysaloides_inflata
f_Lycianthoides_calycina,Lycianthoides_calycina
f_Physalis_hunickenii,Physalis_hunickenii
f_Physalis_infinemundi,Physalis_infinemundi
UF6500_Nephrosemen_reticulatus,Nephrosemen_reticulatum
V_40891_Solanispermum_reniforme,Solanispermum_reniforme
V_40898_Solanum_arnense,Albionites_arnensis
CCN6065_second_seed_Capsicum_pliocenicum,Seminuta_pliocenica
H4895_Hyoscyamus_undulatus,Hyoscyamus_undulatus
K453A_Hyoscyamus_datureoides,Hyoscyosperma_daturoides
K528_Solanum_miocenicus,Solanum_miocenicum
K530_Solanoides_dorofeevii,Solanoides_dorofeevii
K587B_Solanum_foveolatum,Sinuatitesta_foveolata
2003_0073_Nicotianosemen_minuta,Thanatosperma_minutum
Alkekengi_officinarum,Alkekengi_officinarum
Anisodus_tanguticus,Anisodus_tanguticus
Anthocercis_intricata,Anthocercis_intricata
Anthotroche_pannosa,Anthotroche_pannosa
Archiphysalis_chamaesarachoides,Archiphysalis_chamaesarachoides
Athenaea_brasiliana,Athenaea_brasiliana
Athenaea_cuspidata,Athenaea_cuspidata
Atropa_belladonna,Atropa_belladonna
Atropanthe_sinensis,Atropanthe_sinensis
Benthamiella_patagonica,Benthamiella_patagonica
Bouchetia_anomala,Bouchetia_anomala
Brachistus_nelsonii,Witheringia_nelsonii
Browallia_americana,Browallia_americana
Brugmansia_suaveolens,Brugmansia_suaveolens
Brunfelsia_australis,Brunfelsia_australis
Calibrachoa_humilis,Calibrachoa_humilis
Calliphysalis_carpenteri,Calliphysalis_carpenteri
Capsicophysalis_potosina,Capsicophysalis_potosina
Capsicum_chacoense,Capsicum_chacoense
Cestrum_bracteatum,Cestrum_bracteatum
Chamaesaracha_arida,Chamaesaracha_arida
Coeloneurum_ferrugineum,Coeloneurum_ferrugineum
Combera_paradoxa,Combera_paradoxa
Crenidium_spinescens,Crenidium_spinescens
Cuatresia_harlingiana,Cuatresia_harlingiana
Cyphanthera_anthocercidea,Cyphanthera_anthocercidea
Darcyanthus_spruceanus,Darcyanthus_spruceanus
Datura_ferox,Datura_ferox
Deprea_pauciflora,Deprea_pauciflora
Deprea_abra_patriciae,Deprea_abra_patriciae
Discopodium_penninervium,Discopodium_penninervium
Duboisia_myoporoides,Duboisia_myoporoides
Duckeodendron_cestroides,Duckeodendron_cestroides
Dunalia_brachyacantha,Dunalia_brachyacantha
Dyssochroma_viridiflorum,Dyssochroma_viridiflorum
Eriolarynx_australis,Eriolarynx_australis
Espadaea_amoena,Espadaea_amoena
Exodeconus_miersii,Exodeconus_miersii
Fabiana_imbricata,Fabiana_imbricata
Goetzea_elegans,Goetzea_elegans
Grammosolen_dixonii,Grammosolen_dixonii
Hawkesiophyton_panamense,Hawkesiophyton_panamense
Heteranthia_decipiens,Heteranthia_decipiens
Hunzikeria_texana,Hunzikeria_texana
Hyoscyamus_niger,Hyoscyamus_niger
Iochroma_cyaneum,Iochroma_cyaneum
Jaborosa_laciniata,Jaborosa_laciniata
Jaltomata_bicolor,Jaltomata_bicolor
Jaltomata_grandiflora,Jaltomata_grandiflora
Juanulloa_mexicana,Juanulloa_mexicana
Latua_pubiflora,Latua_pubiflora
Leptoglossis_darcyana,Leptoglossis_darcyana
Leucophysalis_grandiflora,Leucophysalis_grandiflora
Lycianthes_rantonnetii,Lycianthes_rantonnetii
Lycianthes_acapulcensis,Lycianthes_acapulcensis
Lycium_americanum,Lycium_americanum
Mandragora_officinarum,Mandragora_officinarum
Markea_coccinea,Markea_coccinea
Melananthus_guatemalensis,Melananthus_guatemalensis
Mellissia_begoniifolia,Mellissia_begoniifolia
Merinthopodium_neuranthum,Merinthopodium_neuranthum
Metternichia_princeps,Metternichia_princeps
Nectouxia_formosa,Nectouxia_formosa
Nicandra_physalodes,Nicandra_physalodes
Nicotiana_wigandioides,Nicotiana_wigandioides
Nierembergia_linariifolia,Nierembergia_linariifolia
Nolana_divaricata,Nolana_divaricata
Nothocestrum_latifolium,Nothocestrum_latifolium
Oryctes_nevadensis,Oryctes_nevadensis
Pantacantha_ameghinoi,Pantacantha_ameghinoi
Petunia_interior,Petunia_interior
Physaliastrum_heterophyllum,Physaliastrum_heterophyllum
Physalis_peruviana,Physalis_peruviana
Physalis_angulata,Physalis_angulata
Physochlaina_orientalis,Physochlaina_orientalis
Plowmania_nyctaginoides,Plowmania_nyctaginoides
Protoschwenkia_mandonii,Protoschwenkia_mandonii
Przewalskia_tangutica,Przewalskia_tangutica
Quincula_lobata,Quincula_lobata
Reyesia_chilensis,Reyesia_chilensis
Salpichroa_tristis,Salpichroa_tristis
Salpiglossis_sinuata,Salpiglossis_sinuata
Saracha_quitensis,Saracha_quitensis
Schizanthus_grahamii,Schizanthus_grahamii
Schraderanthus_viscosus,Schraderanthus_viscosus
Schultesianthus_leucanthus,Schultesianthus_leucanthus
Schwenckia_americana,Schwenckia_americana
Sclerophylax_spinescens,Sclerophylax_spinescens
Scopolia_carniolica,Scopolia_carniolica
Sessea_stipulata,Sessea_stipulata
Solandra_grandiflora,Solandra_grandiflora
Solanum_annuum,Solanum_annuum
Solanum_barbisetum,Solanum_barbisetum
Solanum_caripense,Solanum_caripense
Solanum_corymbosum,Solanum_corymbosum
Solanum_crinitum,Solanum_crinitum
Solanum_crispum,Solanum_crispum
Solanum_evolvulifolium,Solanum_evolvulifolium
Solanum_evolvuloides,Solanum_evolvuloides
Solanum_herculeum,Solanum_herculeum
Solanum_hieronymi,Solanum_hieronymi
Solanum_jamaicense,Solanum_jamaicense
Solanum_laciniatum,Solanum_laciniatum
Solanum_mahoriense,Solanum_mahoriense
Solanum_microdontum,Solanum_microdontum
Solanum_montanum,Solanum_montanum
Solanum_oedipus,Solanum_oedipus
Solanum_palustre,Solanum_palustre
Solanum_peruvianum,Solanum_peruvianum
Solanum_polygamum,Solanum_polygamum
Solanum_salamancae,Solanum_salamancae
Solanum_sejunctum,Solanum_sejunctum
Solanum_sinuatirecurvum,Solanum_sinuatirecurvum
Solanum_sisymbriifolium,Solanum_sisymbriifolium
Solanum_terminale,Solanum_terminale
Solanum_thelopodium,Solanum_thelopodium
Solanum_torvum,Solanum_torvum
Solanum_trizygum,Solanum_trizygum
Solanum_uncinellum,Solanum_uncinellum
Solanum_valdiviense,Solanum_valdiviense
Solanum_weddellii,Solanum_weddellii
Solanum_pimpinellifolium,Solanum_pimpinellifolium
Solanum_pinnatum,Solanum_pinnatum
Streptosolen_jamesonii,Streptosolen_jamesonii
Symonanthus_aromaticus,Symonanthus_aromaticus
Trompettia_cardenasiana,Trompettia_cardenasiana
Trozelia_umbellata,Trozelia_umbellata
Tsoala_tubiflora,Tsoala_tubiflora
Tubocapsicum_anomalum,Tubocapsicum_anomalum
Tzeltalia_amphitricha,Tzeltalia_amphitricha
Vassobia_breviflora,Vassobia_breviflora
Vestia_foetida,Vestia_foetida
Withania_somnifera,Withania_somnifera
Witheringia_solanacea,Witheringia_solanacea